game_season,game_match,game_league_match,game_date,game_kickoff,game_kickoff_type,game_opponents,game_venue,game_venue_type,game_competition,game_level,game_attendance,game_away_attendance,game_home_attendance,game_outcome,game_goals_for,game_goals_against,game_manager,game_division_position,game_pyramid_position,game_cumulative_points,game_p1,game_p1mins,game_p2,game_p2mins,game_p3,game_p3mins,game_p4,game_p4mins,game_p5,game_p5mins,game_p6,game_p6mins,game_p7,game_p7mins,game_p8,game_p8mins,game_p9,game_p9mins,game_p10,game_p10mins,game_p11,game_p11mins,game_s1,game_s1mins,game_s2,game_s2mins,game_s3,game_s3mins,game_s4,game_s4mins,game_s5,game_s5mins,game_s6,game_s6mins,game_s7,game_s7mins,game_s8,game_s8mins,game_s9,game_s9mins,game_goal1,game_goal2,game_goal3,game_goal4,game_goal5,game_goal6,game_goal7,game_goal8,game_yellow1,game_yellow2,game_yellow3,game_yellow4,game_yellow5,game_yellow6,game_red1,game_red2
20132014,4,3,20130817,1500,0,Plymouth Argyle,Whaddon Road,0,EFL,4,3450,,3450,0,1,3,Mark Yates,21,89,1,0403_Scott_Brown,90,1301_Troy_Brown,90,1007_Steve_Elliott,90,1203_Sam_Deering,56,1214_Byron_Harrison,82,1107_Jermaine_McGlashan,90,1304_Matt_Richards,90,1105_Russell_Penn,90,1109_Sido_Jombati,90,1308_Craig_Braham-Barrett,90,0411_Steven_Gillespie,66,1204_Connor_Roberts,0,0601_Keith_Lowe,0,1210_Jason_Taylor,0,1306_Ryan_Inniss,0,1307_Zack_Kotwica,34,0404_Ashley_Vincent,24,1310_Bobbie_Dale,8,NA,NA,NA,NA,1304_Matt_Richards,NA,NA,NA,NA,NA,NA,NA,1107_Jermaine_McGlashan,1301_Troy_Brown,NA,NA,NA,NA,NA,NA
20132014,5,4,20130824,1500,0,Accrington Stanley,Crown Ground,1,EFL,4,1224,,1224,3,1,0,Mark Yates,21,89,4,0403_Scott_Brown,90,0601_Keith_Lowe,90,1210_Jason_Taylor,90,1301_Troy_Brown,90,1007_Steve_Elliott,90,1203_Sam_Deering,90,1303_Terry_Gornell,86,1304_Matt_Richards,90,1105_Russell_Penn,90,1308_Craig_Braham-Barrett,90,0411_Steven_Gillespie,62,1204_Connor_Roberts,0,1214_Byron_Harrison,28,1107_Jermaine_McGlashan,4,1306_Ryan_Inniss,0,1307_Zack_Kotwica,0,1109_Sido_Jombati,0,0404_Ashley_Vincent,0,NA,NA,NA,NA,1210_Jason_Taylor,NA,NA,NA,NA,NA,NA,NA,0601_Keith_Lowe,NA,NA,NA,NA,NA,NA,NA
20132014,6,NA,20130827,1945,1,West Ham United,Upton Park,1,FLC,2,23440,,23440,0,1,2,Mark Yates,NA,NA,NA,0403_Scott_Brown,90,0601_Keith_Lowe,90,1210_Jason_Taylor,90,1007_Steve_Elliott,90,1203_Sam_Deering,63,1303_Terry_Gornell,77,1107_Jermaine_McGlashan,90,1304_Matt_Richards,90,1306_Ryan_Inniss,90,1105_Russell_Penn,83,1308_Craig_Braham-Barrett,90,1204_Connor_Roberts,0,1201_Billy_Jones,0,1214_Byron_Harrison,27,1307_Zack_Kotwica,13,1109_Sido_Jombati,0,0404_Ashley_Vincent,7,0411_Steven_Gillespie,0,NA,NA,NA,NA,1304_Matt_Richards,NA,NA,NA,NA,NA,NA,NA,1007_Steve_Elliott,NA,NA,NA,NA,NA,NA,NA
20132014,7,5,20130831,1500,0,Bury,Gigg Lane,1,EFL,4,2910,,2910,0,1,4,Mark Yates,21,89,4,0403_Scott_Brown,90,0601_Keith_Lowe,90,1210_Jason_Taylor,90,1007_Steve_Elliott,29,1203_Sam_Deering,90,1303_Terry_Gornell,84,1107_Jermaine_McGlashan,90,1304_Matt_Richards,90,1306_Ryan_Inniss,90,1105_Russell_Penn,90,1308_Craig_Braham-Barrett,8,1204_Connor_Roberts,0,1201_Billy_Jones,0,1214_Byron_Harrison,61,1307_Zack_Kotwica,0,1109_Sido_Jombati,82,0404_Ashley_Vincent,0,0411_Steven_Gillespie,6,NA,NA,NA,NA,9999_Own_Goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20132014,8,NA,20130903,1945,1,Plymouth Argyle,Whaddon Road,0,FLT,1,1236,,1236,1,3,3,Mark Yates,NA,NA,NA,0403_Scott_Brown,90,0601_Keith_Lowe,90,1210_Jason_Taylor,90,1203_Sam_Deering,90,1214_Byron_Harrison,90,1306_Ryan_Inniss,90,1105_Russell_Penn,45,1307_Zack_Kotwica,90,1109_Sido_Jombati,90,0404_Ashley_Vincent,69,0411_Steven_Gillespie,83,1317_Harvey_Rivers,0,1302_Jamie_Cureton,0,1303_Terry_Gornell,7,1107_Jermaine_McGlashan,21,1311_David_Noble,45,NA,NA,NA,NA,NA,NA,NA,NA,0411_Steven_Gillespie,0411_Steven_Gillespie,1210_Jason_Taylor,NA,NA,NA,NA,NA,0601_Keith_Lowe,NA,NA,NA,NA,NA,NA,NA
20132014,9,6,20130907,1500,0,Portsmouth,Whaddon Road,0,EFL,4,4776,,4776,1,2,2,Mark Yates,20,88,5,0403_Scott_Brown,90,0601_Keith_Lowe,90,1007_Steve_Elliott,90,1203_Sam_Deering,66,1303_Terry_Gornell,90,1107_Jermaine_McGlashan,90,1304_Matt_Richards,90,1306_Ryan_Inniss,32,1109_Sido_Jombati,90,0411_Steven_Gillespie,57,1311_David_Noble,90,1317_Harvey_Rivers,0,1210_Jason_Taylor,0,1214_Byron_Harrison,24,1105_Russell_Penn,58,1307_Zack_Kotwica,33,0404_Ashley_Vincent,0,NA,NA,NA,NA,NA,NA,1107_Jermaine_McGlashan,1107_Jermaine_McGlashan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20132014,10,7,20130914,1500,0,Oxford United,Whaddon Road,0,EFL,4,3906,,3906,1,2,2,Mark Yates,20,88,6,0403_Scott_Brown,90,0601_Keith_Lowe,90,1007_Steve_Elliott,90,1214_Byron_Harrison,90,1303_Terry_Gornell,90,1107_Jermaine_McGlashan,90,1304_Matt_Richards,90,1105_Russell_Penn,90,1109_Sido_Jombati,90,1311_David_Noble,89,1313_James_Wilson,90,1204_Connor_Roberts,0,1210_Jason_Taylor,1,1203_Sam_Deering,0,1307_Zack_Kotwica,0,0404_Ashley_Vincent,0,0411_Steven_Gillespie,0,NA,NA,NA,NA,NA,NA,1214_Byron_Harrison,1303_Terry_Gornell,NA,NA,NA,NA,NA,NA,1109_Sido_Jombati,1311_David_Noble,NA,NA,NA,NA,NA,NA
20132014,11,8,20130921,1500,0,Torquay United,Plainmoor,1,EFL,4,2407,,2407,0,2,4,Mark Yates,21,89,6,0403_Scott_Brown,90,0601_Keith_Lowe,90,1007_Steve_Elliott,90,1214_Byron_Harrison,90,1303_Terry_Gornell,79,1107_Jermaine_McGlashan,90,1304_Matt_Richards,60,1105_Russell_Penn,90,1109_Sido_Jombati,90,1311_David_Noble,79,1313_James_Wilson,90,1204_Connor_Roberts,0,1210_Jason_Taylor,11,1302_Jamie_Cureton,11,1203_Sam_Deering,0,1307_Zack_Kotwica,0,0404_Ashley_Vincent,30,NA,NA,NA,NA,NA,NA,1214_Byron_Harrison,1303_Terry_Gornell,NA,NA,NA,NA,NA,NA,1311_David_Noble,NA,NA,NA,NA,NA,NA,NA
20132014,12,9,20130928,1500,0,AFC Wimbledon,Whaddon Road,0,EFL,4,3032,,3032,3,1,0,Mark Yates,19,87,9,0403_Scott_Brown,90,0601_Keith_Lowe,90,1210_Jason_Taylor,90,1301_Troy_Brown,90,1214_Byron_Harrison,90,1303_Terry_Gornell,90,1107_Jermaine_McGlashan,89,1304_Matt_Richards,90,1105_Russell_Penn,90,1311_David_Noble,75,1313_James_Wilson,90,1204_Connor_Roberts,0,1007_Steve_Elliott,0,1302_Jamie_Cureton,15,1203_Sam_Deering,0,1307_Zack_Kotwica,0,1109_Sido_Jombati,1,0404_Ashley_Vincent,0,NA,NA,NA,NA,1302_Jamie_Cureton,NA,NA,NA,NA,NA,NA,NA,1311_David_Noble,NA,NA,NA,NA,NA,NA,NA
20132014,13,10,20131005,1500,0,Scunthorpe United,Glanford Park,1,EFL,4,3191,,3191,0,0,2,Mark Yates,22,90,9,0403_Scott_Brown,90,0601_Keith_Lowe,84,1210_Jason_Taylor,90,1301_Troy_Brown,90,1214_Byron_Harrison,90,1303_Terry_Gornell,76,1107_Jermaine_McGlashan,90,1304_Matt_Richards,90,1105_Russell_Penn,90,1311_David_Noble,52,1313_James_Wilson,90,1204_Connor_Roberts,0,1007_Steve_Elliott,0,1302_Jamie_Cureton,38,1203_Sam_Deering,0,1307_Zack_Kotwica,14,1109_Sido_Jombati,6,0404_Ashley_Vincent,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1311_David_Noble,NA,NA,NA,NA,NA,NA,NA
